path,country,kind,departure_state,has_departures_section,has_waitlist_section,book_cta_is_anchor,booking_links,has_price,price_min,word_count,has_product_schema,title_len,meta_desc_len
/italien/amalfikysten,italien,editorial-city,n/a — no departures section,0,0,0,0,1,8995,1349,1,76,178
/italien/apulien,italien,editorial-city,n/a — no departures section,0,0,0,0,1,13995,2007,1,56,171
/belgien/bruxelles,belgien,editorial-city,n/a — no departures section,0,0,0,0,0,,2241,0,61,168
/sverige/gotland,sverige,editorial-city,n/a — no departures section,0,0,0,0,1,9995,2438,1,56,166
/faeroeerne/torshavn,faeroeerne,editorial-city,n/a — no departures section,0,0,0,0,0,,2261,1,57,170
/irland/dublin,irland,editorial-city,n/a — no departures section,0,0,0,0,1,9395,2144,1,58,171
/tyskland/munchen,tyskland,editorial-city,n/a — no departures section,0,0,0,0,0,,2082,1,67,150
/italien/genova,italien,editorial-city,n/a — no departures section,0,0,0,0,1,12495,2279,1,60,162
/kroatien/dubrovnik,kroatien,editorial-city,n/a — no departures section,0,0,0,0,0,,2076,1,62,149
/italien/firenze,italien,editorial-city,n/a — no departures section,0,0,0,0,1,9995,1979,1,55,173
/italien/cinque-terre,italien,editorial-city,n/a — no departures section,0,0,0,0,1,12495,1918,1,63,162
/frankrig/paris,frankrig,editorial-city,n/a — no departures section,0,0,0,0,1,7995,2243,1,55,186
/bosnien/mostar,bosnien,editorial-city,n/a — no departures section,0,0,0,0,0,,2060,1,57,180
/england/london,england,editorial-city,n/a — no departures section,0,0,0,0,1,13995,1692,1,64,165
/estland/tallinn,estland,editorial-city,n/a — no departures section,0,0,0,0,0,,1618,1,58,155
/holland/amsterdam,holland,editorial-city,n/a — no departures section,0,0,0,0,0,,1569,1,54,173
/tyskland/koln,tyskland,editorial-city,n/a — no departures section,0,0,0,0,0,,1799,1,60,165
/england/sydengland,england,editorial-city,n/a — no departures section,0,0,0,0,1,12995,2499,1,60,164
/kroatien/split,kroatien,editorial-city,n/a — no departures section,0,0,0,0,0,,2309,0,55,154
/belgien/antwerpen,belgien,editorial-city,n/a — no departures section,0,0,0,0,0,,1948,0,53,167
/graekenland/mykonos,graekenland,editorial-city,n/a — no departures section,0,0,0,0,0,,1902,0,50,159
/graekenland/santorini,graekenland,editorial-city,n/a — no departures section,0,0,0,0,0,,2126,0,55,173
/portugal/madeira/madeira-vandreferie,portugal,editorial-thin,n/a — no departures section,0,0,0,0,1,12995,215,1,60,175
/england/haverejser-england,england,editorial-thin,n/a — no departures section,0,0,0,0,1,12995,270,1,60,158
/portugal/madeira/madeira-rundrejser,portugal,editorial-thin,n/a — no departures section,0,0,0,0,1,14995,185,1,60,162
/portugal/madeira/madeira-blomsterfestival,portugal,editorial-thin,n/a — no departures section,0,0,0,0,1,13495,214,1,61,160
/portugal/portugal-flodkrydstogter,portugal,editorial-thin,n/a — no departures section,0,0,0,0,0,,239,1,59,154
/schweiz/schweiz-togrejser,schweiz,editorial-thin,n/a — no departures section,0,0,0,0,1,20495,218,1,59,172
/spanien/mallorca/soller,spanien,editorial-city,n/a — no departures section,0,0,0,0,0,,1753,1,57,162
/spanien/mallorca,spanien,editorial-city,n/a — no departures section,0,0,0,0,0,,2107,1,61,173
/spanien/mallorca/palma,spanien,editorial-city,n/a — no departures section,0,0,0,0,0,,1812,1,54,179
/musik-og-underholdning/koncert-rejser/andrea-bocelli,musik-og-underholdning,editorial-thin,n/a — no departures section,0,0,0,0,0,,180,1,64,155
